iter	Logloss
0	0.6495280426
1	0.6225782283
2	0.5920952474
3	0.5583693892
4	0.5258872663
5	0.5043721238
6	0.4833214156
7	0.4652492187
8	0.4555679894
9	0.4416547915
10	0.423929353
11	0.4117930592
12	0.3984039152
13	0.388930094
14	0.3754562766
15	0.3651385365
16	0.3576724423
17	0.3491460739
18	0.34120231
19	0.3381035558
20	0.3333791982
21	0.3282072696
22	0.3251382467
23	0.3190020363
24	0.3122223536
25	0.3082207747
26	0.3043318752
27	0.2993255264
28	0.2935714047
29	0.2883514546
30	0.2848421769
31	0.2818738702
32	0.2783232376
33	0.2743712237
34	0.2710188583
35	0.267939963
36	0.2648356062
37	0.2615884839
38	0.2588991149
39	0.2561228762
40	0.25466269
41	0.2531146962
42	0.2506373979
43	0.2477836423
44	0.244776321
45	0.2421818378
46	0.2396284352
47	0.2375266371
48	0.235122451
49	0.2339935386
50	0.232330976
51	0.2306405572
52	0.2285442129
53	0.2277553223
54	0.2255131537
55	0.2237962997
56	0.2221531238
57	0.2210387493
58	0.2198106695
59	0.218176121
60	0.2162106926
61	0.2153040322
62	0.2143176161
63	0.2125731798
64	0.2107117986
65	0.2092752869
66	0.2080190209
67	0.2078934441
68	0.2071550134
69	0.2055378139
70	0.2041176243
71	0.2020856712
72	0.2013382152
73	0.2000834888
74	0.1983598555
75	0.1967942586
76	0.1955096324
77	0.1942297994
78	0.1935271683
79	0.1920738003
80	0.1908579771
81	0.189552233
82	0.1886271123
83	0.1873043763
84	0.185737333
85	0.1847043833
86	0.1832843639
87	0.1813189745
88	0.1793087766
89	0.1785263578
90	0.1777167633
91	0.1773486156
92	0.1763702771
93	0.1753408895
94	0.1740893824
95	0.1739410752
96	0.1727799724
97	0.1720408929
98	0.1715236076
99	0.1708562912
