iter	Passed	Remaining
0	2	200
1	3	188
2	5	185
3	7	181
4	9	178
5	11	175
6	13	173
7	15	173
8	16	165
9	17	160
10	19	159
11	21	158
12	23	156
13	25	155
14	27	153
15	29	152
16	30	151
17	32	149
18	34	147
19	35	142
20	38	143
21	40	143
22	41	139
23	43	138
24	45	136
25	47	134
26	49	132
27	51	131
28	52	129
29	54	127
30	56	125
31	58	124
32	60	122
33	62	120
34	64	118
35	67	119
36	69	117
37	70	115
38	72	113
39	74	112
40	77	110
41	78	108
42	80	106
43	82	105
44	84	103
45	86	101
46	88	99
47	89	97
48	91	95
49	93	93
50	95	91
51	97	89
52	99	88
53	101	86
54	103	84
55	105	82
56	107	80
57	109	79
58	111	77
59	112	75
60	114	73
61	116	71
62	118	69
63	120	67
64	122	65
65	124	64
66	126	62
67	127	59
68	129	58
69	131	56
70	132	54
71	134	52
72	136	50
73	138	48
74	140	46
75	142	44
76	144	43
77	145	41
78	147	39
79	149	37
80	151	35
81	153	33
82	155	31
83	157	29
84	158	28
85	160	26
86	162	24
87	164	22
88	166	20
89	168	18
90	170	16
91	171	14
92	173	13
93	175	11
94	177	9
95	179	7
96	181	5
97	183	3
98	184	1
99	186	0
